Model,Train Size,Accuracy,F1 Macro,Cohen Kappa
LOGREG,79,0.725,0.6448748991121873,0.3529411764705882
LOGREG,111,0.775,0.7254004576659039,0.48275862068965514
SVM,79,0.75,0.7333333333333334,0.46808510638297873
SVM,111,0.825,0.7963636363636364,0.6067415730337079
